id_lower,year,radio,population,users,attractiveness,cells_to_build
-99.02285683708922_19.639957238996963,1996.0,gsm,841727,210431,982565.0,43
-99.20251989391312_19.30118067727593,1996.0,gsm,841513,210378,834455.0,43
-99.20251989391312_19.38594112873661,1996.0,gsm,1009580,252395,825344.0,51
-100.7296558769163_22.904116301036076,,,24,6,0.0,0
-100.1906667064446_22.986839990812282,,,27,6,0.0,0
-100.46016129168045_23.317226998408007,,,36,9,0.0,0
-100.9093189337402_24.46707325258056,,,4,1,0.0,0
-100.81948740532826_24.385282141599326,,,32,8,0.0,0
-100.81948740532826_24.46707325258056,,,5,1,0.0,0
-100.5499928200924_24.630496059242333,,,10,2,0.0,0
-100.3703297632685_24.630496059242333,,,17,4,0.0,0
-100.28049823485654_24.385282141599326,,,20,5,0.0,0
-100.9093189337402_25.20078829432483,,,28,7,0.0,0
-100.81948740532826_24.712127491887145,,,12,3,0.0,0
-100.7296558769163_24.712127491887145,,,20,5,0.0,0
-100.46016129168045_25.444387895859457,,,33,8,0.0,0
-100.3703297632685_24.712127491887145,,,20,5,0.0,0
-100.7296558769163_26.252816012613508,,,8,2,0.0,0
-100.63982434850435_26.01086869800926,,,22,5,0.0,0
-100.63982434850435_26.172222619697713,,,34,8,0.0,0
-100.63982434850435_26.252816012613508,,,5,1,0.0,0
-100.5499928200924_25.93010841242947,,,31,7,0.0,0
-100.5499928200924_26.091573474384994,,,37,9,0.0,0
-100.5499928200924_26.172222619697713,,,13,3,0.0,0
-100.5499928200924_26.252816012613508,,,6,1,0.0,0
-100.46016129168045_26.091573474384994,,,10,2,0.0,0
-100.3703297632685_26.252816012613508,,,20,5,0.0,0
-100.28049823485654_26.252816012613508,,,8,2,0.0,0
-100.10083517803264_26.091573474384994,,,19,4,0.0,0
-100.9093189337402_26.333353532323734,,,21,5,0.0,0
-100.9093189337402_26.413835058545235,,,3,0,0.0,0
-100.9093189337402_26.735198841284596,,,0,0,0.0,0
-100.9093189337402_26.815398614221458,,,1,0,0.0,0
-100.81948740532826_26.333353532323734,,,1,0,0.0,0
-100.81948740532826_26.735198841284596,,,1,0,0.0,0
-100.81948740532826_26.815398614221458,,,1,0,0.0,0
-100.7296558769163_26.333353532323734,,,6,1,0.0,0
-100.7296558769163_26.735198841284596,,,10,2,0.0,0
-100.7296558769163_26.815398614221458,,,2,0,0.0,0
-100.63982434850435_26.494260471520562,,,1,0,0.0,0
-100.63982434850435_26.574629652018167,,,0,0,0.0,0
-100.5499928200924_26.815398614221458,,,7,1,0.0,0
-100.46016129168045_26.65494248133258,,,19,4,0.0,0
-100.46016129168045_26.735198841284596,,,36,9,0.0,0
-100.46016129168045_26.815398614221458,,,21,5,0.0,0
-100.46016129168045_26.975627931071763,,,20,5,0.0,0
-100.3703297632685_26.333353532323734,,,9,2,0.0,0
-100.3703297632685_27.055657242313234,,,0,0,0.0,0
-100.28049823485654_26.815398614221458,,,1,0,0.0,0
-100.28049823485654_26.895541683016987,,,0,0,0.0,0
-100.28049823485654_26.975627931071763,,,0,0,0.0,0
-100.28049823485654_27.055657242313234,,,0,0,0.0,0
-100.1906667064446_26.65494248133258,,,5,1,0.0,0
-100.1906667064446_26.735198841284596,,,1,0,0.0,0
-100.1906667064446_26.815398614221458,,,2,0,0.0,0
-100.10083517803264_26.815398614221458,,,1,0,0.0,0
-100.10083517803264_26.895541683016987,,,33,8,0.0,0
-100.9093189337402_27.295402402338105,,,4,1,0.0,0
-100.9093189337402_27.375202816142718,,,3,0,0.0,0
-100.9093189337402_27.45494572067861,,,4,1,0.0,0
-100.9093189337402_27.69382825222259,,,7,1,0.0,0
-100.9093189337402_27.773339995870302,,,8,2,0.0,0
-100.81948740532826_27.375202816142718,,,1,0,0.0,0
-100.81948740532826_27.53463100303685,,,8,2,0.0,0
-100.81948740532826_27.69382825222259,,,1,0,0.0,0
-100.7296558769163_27.375202816142718,,,0,0,0.0,0
-100.7296558769163_27.53463100303685,,,2,0,0.0,0
-100.7296558769163_27.69382825222259,,,1,0,0.0,0
-100.63982434850435_27.295402402338105,,,4,1,0.0,0
-100.63982434850435_27.375202816142718,,,0,0,0.0,0
-100.63982434850435_27.61425855083609,,,0,0,0.0,0
-100.5499928200924_27.295402402338105,,,1,0,0.0,0
-100.5499928200924_27.45494572067861,,,21,5,0.0,0
-100.5499928200924_27.69382825222259,,,0,0,0.0,0
-100.46016129168045_27.13562950119585,,,2,0,0.0,0
-100.46016129168045_27.295402402338105,,,1,0,0.0,0
-100.46016129168045_27.61425855083609,,,0,0,0.0,0
-100.46016129168045_27.69382825222259,,,0,0,0.0,0
-100.3703297632685_27.215544592701203,,,28,7,0.0,0
-100.3703297632685_27.295402402338105,,,6,1,0.0,0
-100.3703297632685_27.375202816142718,,,23,5,0.0,0
-100.3703297632685_27.61425855083609,,,1,0,0.0,0
-100.28049823485654_27.13562950119585,,,0,0,0.0,0
-100.28049823485654_27.215544592701203,,,2,0,0.0,0
-100.28049823485654_27.61425855083609,,,12,3,0.0,0
-100.1906667064446_27.61425855083609,,,4,1,0.0,0
-100.10083517803264_27.13562950119585,,,15,3,0.0,0
-100.10083517803264_27.53463100303685,,,2,0,0.0,0
-100.10083517803264_27.61425855083609,,,2,0,0.0,0
-100.9093189337402_28.644112654258493,,,37,9,0.0,0
-100.81948740532826_28.24918717747822,,,26,6,0.0,0
-100.63982434850435_28.407334281484882,,,14,3,0.0,0
-100.5499928200924_28.090805185022827,,,17,4,0.0,0
-100.5499928200924_28.170025488556703,,,36,9,0.0,0
-100.46016129168045_28.24918717747822,,,2,0,0.0,0
-100.46016129168045_28.407334281484882,,,5,1,0.0,0
-100.3703297632685_28.24918717747822,,,1,0,0.0,0
-100.28049823485654_28.170025488556703,,,11,2,0.0,0
-100.28049823485654_28.24918717747822,,,9,2,0.0,0
-100.1906667064446_28.090805185022827,,,2,0,0.0,0
-100.1906667064446_28.170025488556703,,,27,6,0.0,0
-100.10083517803264_28.01152637503609,,,4,1,0.0,0
-100.9093189337402_28.722920413707833,,,5,1,0.0,0
-100.9093189337402_28.801668816203076,,,0,0,0.0,0
-100.9093189337402_28.88035775780543,,,1,0,0.0,0
-100.9093189337402_28.95898713510335,,,3,0,0.0,0
-100.81948740532826_28.722920413707833,,,2,0,0.0,0
-100.7296558769163_28.722920413707833,,,6,1,0.0,0
-100.7296558769163_29.116066785775388,,,23,5,0.0,0
-100.63982434850435_28.722920413707833,,,13,3,0.0,0
-101.80763421785971_18.280675179591228,,,43,10,0.0,0
-101.80763421785971_18.365952003926687,,,34,8,0.0,0
-101.80763421785971_23.564480194787976,,,26,6,0.0,0
-101.80763421785971_23.729057835540004,,,22,5,0.0,0
-101.80763421785971_23.811268896512473,,,31,7,0.0,0
-101.71780268944778_23.234706690272183,,,19,4,0.0,0
-101.71780268944778_23.729057835540004,,,23,5,0.0,0
-101.62797116103582_23.069513046210616,,,22,5,0.0,0
-101.53813963262388_23.48211388939773,,,41,10,0.0,0
-101.53813963262388_23.564480194787976,,,22,5,0.0,0
-101.44830810421192_23.564480194787976,,,4,1,0.0,0
-101.44830810421192_23.64679488931916,,,24,6,0.0,0
-101.35847657579998_23.234706690272183,,,24,6,0.0,0
-101.35847657579998_23.317226998408007,,,31,7,0.0,0
-101.80763421785971_24.139591567151705,,,19,4,0.0,0
-101.71780268944778_23.975534817529628,,,3,0,0.0,0
-101.62797116103582_24.139591567151705,,,3,0,0.0,0
-101.62797116103582_24.221541165812983,,,10,2,0.0,0
-101.62797116103582_24.46707325258056,,,1,0,0.0,0
-101.53813963262388_24.057589406269315,,,25,6,0.0,0
-101.53813963262388_24.30343806840572,,,29,7,0.0,0
-101.44830810421192_24.057589406269315,,,16,4,0.0,0
-101.35847657579998_24.057589406269315,,,21,5,0.0,0
-101.35847657579998_24.139591567151705,,,2,0,0.0,0
-101.35847657579998_24.30343806840572,,,21,5,0.0,0
-101.26864504738802_24.30343806840572,,,30,7,0.0,0
-101.26864504738802_24.46707325258056,,,15,3,0.0,0
-101.17881351897606_24.139591567151705,,,27,6,0.0,0
-101.17881351897606_24.30343806840572,,,24,6,0.0,0
-101.17881351897606_24.385282141599326,,,19,4,0.0,0
-100.99915046215216_24.46707325258056,,,34,8,0.0,0
-101.80763421785971_24.875229762108027,,,25,6,0.0,0
-101.80763421785971_25.20078829432483,,,27,6,0.0,0
-101.71780268944778_24.793705436249,,,20,5,0.0,0
-101.71780268944778_24.875229762108027,,,26,6,0.0,0
-101.71780268944778_25.28204259258345,,,38,9,0.0,0
-101.62797116103582_25.038117040038248,,,2,0,0.0,0
-101.53813963262388_24.793705436249,,,19,4,0.0,0
-101.35847657579998_25.119479734271003,,,27,6,0.0,0
-101.26864504738802_24.712127491887145,,,25,6,0.0,0
-101.26864504738802_24.793705436249,,,33,8,0.0,0
-100.99915046215216_25.119479734271003,,,20,5,0.0,0
-101.62797116103582_25.687495726925793,,,11,2,0.0,0
-101.53813963262388_25.687495726925793,,,25,6,0.0,0
-101.35847657579998_25.849292740029377,,,15,3,0.0,0
-101.35847657579998_26.01086869800926,,,6,1,0.0,0
-101.35847657579998_26.252816012613508,,,24,6,0.0,0
-101.26864504738802_26.01086869800926,,,39,9,0.0,0
-101.17881351897606_26.172222619697713,,,26,6,0.0,0
-101.80763421785971_26.574629652018167,,,0,0,0.0,0
-101.80763421785971_26.65494248133258,,,9,2,0.0,0
-101.80763421785971_26.975627931071763,,,8,2,0.0,0
-101.71780268944778_26.494260471520562,,,17,4,0.0,0
-101.71780268944778_26.574629652018167,,,6,1,0.0,0
-101.53813963262388_26.413835058545235,,,9,2,0.0,0
-101.53813963262388_26.494260471520562,,,8,2,0.0,0
-101.53813963262388_26.895541683016987,,,33,8,0.0,0
-101.35847657579998_26.333353532323734,,,10,2,0.0,0
-101.35847657579998_26.494260471520562,,,9,2,0.0,0
-101.35847657579998_26.574629652018167,,,6,1,0.0,0
-101.35847657579998_26.735198841284596,,,35,8,0.0,0
-101.26864504738802_26.65494248133258,,,2,0,0.0,0
-101.26864504738802_26.735198841284596,,,25,6,0.0,0
-101.26864504738802_27.055657242313234,,,5,1,0.0,0
-101.17881351897606_26.333353532323734,,,11,2,0.0,0
-101.17881351897606_26.494260471520562,,,15,3,0.0,0
-101.17881351897606_26.895541683016987,,,17,4,0.0,0
-101.08898199056412_26.333353532323734,,,3,0,0.0,0
-101.08898199056412_26.895541683016987,,,19,4,0.0,0
-100.99915046215216_26.333353532323734,,,10,2,0.0,0
-100.99915046215216_26.413835058545235,,,15,3,0.0,0
-100.99915046215216_26.494260471520562,,,1,0,0.0,0
-100.99915046215216_26.815398614221458,,,7,1,0.0,0
-101.80763421785971_27.215544592701203,,,3,0,0.0,0
-101.80763421785971_27.53463100303685,,,0,0,0.0,0
-101.80763421785971_27.61425855083609,,,0,0,0.0,0
-101.71780268944778_27.13562950119585,,,33,8,0.0,0
-101.71780268944778_27.53463100303685,,,4,1,0.0,0
-101.62797116103582_27.85279367098089,,,3,0,0.0,0
-101.44830810421192_27.13562950119585,,,31,7,0.0,0
-101.26864504738802_27.13562950119585,,,7,1,0.0,0
-101.26864504738802_27.295402402338105,,,16,4,0.0,0
-101.26864504738802_27.53463100303685,,,5,1,0.0,0
-101.17881351897606_27.295402402338105,,,31,7,0.0,0
-101.17881351897606_27.53463100303685,,,2,0,0.0,0
-101.17881351897606_27.69382825222259,,,31,7,0.0,0
-101.08898199056412_27.295402402338105,,,1,0,0.0,0
-101.08898199056412_27.375202816142718,,,8,2,0.0,0
-101.08898199056412_27.61425855083609,,,8,2,0.0,0
-100.99915046215216_27.295402402338105,,,0,0,0.0,0
-100.99915046215216_27.375202816142718,,,18,4,0.0,0
-100.99915046215216_27.53463100303685,,,2,0,0.0,0
-100.99915046215216_27.61425855083609,,,0,0,0.0,0
-101.80763421785971_28.486319482889648,,,0,0,0.0,0
-101.80763421785971_28.644112654258493,,,5,1,0.0,0
-101.71780268944778_27.93218916728376,,,8,2,0.0,0
-101.71780268944778_28.090805185022827,,,5,1,0.0,0
-101.71780268944778_28.407334281484882,,,0,0,0.0,0
-101.71780268944778_28.486319482889648,,,2,0,0.0,0
-101.71780268944778_28.565245642321226,,,4,1,0.0,0
-101.71780268944778_28.644112654258493,,,1,0,0.0,0
-101.62797116103582_27.93218916728376,,,30,7,0.0,0
-101.62797116103582_28.01152637503609,,,15,3,0.0,0
-101.62797116103582_28.090805185022827,,,2,0,0.0,0
-101.62797116103582_28.170025488556703,,,0,0,0.0,0
-101.62797116103582_28.24918717747822,,,0,0,0.0,0
-101.62797116103582_28.328290144155623,,,0,0,0.0,0
-101.62797116103582_28.407334281484882,,,0,0,0.0,0
-101.53813963262388_28.01152637503609,,,12,3,0.0,0
-101.17881351897606_28.090805185022827,,,4,1,0.0,0
-101.08898199056412_27.93218916728376,,,2,0,0.0,0
-101.08898199056412_28.170025488556703,,,2,0,0.0,0
-101.08898199056412_28.24918717747822,,,1,0,0.0,0
-101.80763421785971_28.722920413707833,,,13,3,0.0,0
-101.62797116103582_29.27290695146803,,,5,1,0.0,0
-101.53813963262388_29.19451685496179,,,8,2,0.0,0
-101.53813963262388_29.27290695146803,,,4,1,0.0,0
-101.44830810421192_29.19451685496179,,,13,3,0.0,0
-101.26864504738802_29.19451685496179,,,3,0,0.0,0
-101.26864504738802_29.27290695146803,,,1,0,0.0,0
-101.17881351897606_29.27290695146803,,,1,0,0.0,0
-101.08898199056412_29.27290695146803,,,9,2,0.0,0
-101.08898199056412_29.351236974517178,,,12,3,0.0,0
-101.08898199056412_29.429506823858794,,,15,3,0.0,0
-100.99915046215216_28.722920413707833,,,30,7,0.0,0
-102.34662338833144_18.45118671128534,,,25,6,0.0,0
-102.07712880309558_18.45118671128534,,,44,11,0.0,0
-102.16696033150754_19.555329571527224,,,39,9,0.0,0
-101.89746574627168_18.876722638813067,,,16,4,0.0,0
-102.70594950197923_22.157348066763056,,,0,0,0.0,0
-102.6161179735673_22.157348066763056,,,21,5,0.0,0
-102.70594950197923_22.323644662951814,,,3,0,0.0,0
-102.52628644515534_23.317226998408007,,,5,1,0.0,0
-102.52628644515534_23.48211388939773,,,37,9,0.0,0
-102.4364549167434_23.729057835540004,,,19,4,0.0,0
-102.34662338833144_23.399696111112384,,,33,8,0.0,0
-102.34662338833144_23.564480194787976,,,27,6,0.0,0
-102.07712880309558_23.729057835540004,,,4,1,0.0,0
-102.70594950197923_23.893427935812323,,,0,0,0.0,0
-102.70594950197923_24.630496059242333,,,27,6,0.0,0
-102.6161179735673_23.893427935812323,,,2,0,0.0,0
-102.6161179735673_24.221541165812983,,,0,0,0.0,0
-102.6161179735673_24.30343806840572,,,0,0,0.0,0
-102.52628644515534_24.221541165812983,,,15,3,0.0,0
-102.52628644515534_24.30343806840572,,,0,0,0.0,0
-102.52628644515534_24.385282141599326,,,8,2,0.0,0
-102.4364549167434_23.893427935812323,,,35,8,0.0,0
-102.4364549167434_24.139591567151705,,,35,8,0.0,0
-102.4364549167434_24.221541165812983,,,12,3,0.0,0
-102.4364549167434_24.385282141599326,,,9,2,0.0,0
-102.34662338833144_24.385282141599326,,,22,5,0.0,0
-102.2567918599195_23.893427935812323,,,5,1,0.0,0
-102.2567918599195_24.221541165812983,,,4,1,0.0,0
-102.2567918599195_24.30343806840572,,,17,4,0.0,0
-102.2567918599195_24.385282141599326,,,4,1,0.0,0
-102.16696033150754_23.893427935812323,,,0,0,0.0,0
-102.16696033150754_23.975534817529628,,,2,0,0.0,0
-102.16696033150754_24.057589406269315,,,7,1,0.0,0
-102.16696033150754_24.139591567151705,,,39,9,0.0,0
-102.07712880309558_23.893427935812323,,,8,2,0.0,0
-102.07712880309558_24.221541165812983,,,37,9,0.0,0
-102.07712880309558_24.46707325258056,,,39,9,0.0,0
-101.89746574627168_24.30343806840572,,,23,5,0.0,0
-101.89746574627168_24.385282141599326,,,8,2,0.0,0
-101.89746574627168_24.54881126905396,,,27,6,0.0,0
-102.70594950197923_25.28204259258345,,,0,0,0.0,0
-102.70594950197923_25.363242501952417,,,0,0,0.0,0
-102.6161179735673_25.20078829432483,,,17,4,0.0,0
-102.6161179735673_25.28204259258345,,,1,0,0.0,0
-102.6161179735673_25.363242501952417,,,0,0,0.0,0
-102.6161179735673_25.444387895859457,,,1,0,0.0,0
-102.52628644515534_25.363242501952417,,,3,0,0.0,0
-102.52628644515534_25.444387895859457,,,4,1,0.0,0
-102.4364549167434_25.28204259258345,,,33,8,0.0,0
-102.4364549167434_25.363242501952417,,,0,0,0.0,0
-102.34662338833144_24.712127491887145,,,27,6,0.0,0
-102.34662338833144_24.793705436249,,,2,0,0.0,0
-102.34662338833144_25.28204259258345,,,0,0,0.0,0
-102.2567918599195_24.712127491887145,,,16,4,0.0,0
-102.2567918599195_25.038117040038248,,,18,4,0.0,0
-102.2567918599195_25.28204259258345,,,1,0,0.0,0
-102.2567918599195_25.363242501952417,,,1,0,0.0,0
-102.16696033150754_25.28204259258345,,,7,1,0.0,0
-102.16696033150754_25.363242501952417,,,4,1,0.0,0
-102.07712880309558_24.712127491887145,,,17,4,0.0,0
-102.07712880309558_24.956700339764303,,,28,7,0.0,0
-102.07712880309558_25.119479734271003,,,35,8,0.0,0
-102.07712880309558_25.20078829432483,,,39,9,0.0,0
-101.89746574627168_24.875229762108027,,,3,0,0.0,0
-101.89746574627168_25.20078829432483,,,21,5,0.0,0
-102.70594950197923_25.606514633611518,,,8,2,0.0,0
-102.70594950197923_26.01086869800926,,,1,0,0.0,0
-102.70594950197923_26.091573474384994,,,1,0,0.0,0
-102.70594950197923_26.252816012613508,,,7,1,0.0,0
-102.6161179735673_25.687495726925793,,,21,5,0.0,0
-102.52628644515534_25.525478648254804,,,5,1,0.0,0
-102.4364549167434_25.525478648254804,,,20,5,0.0,0
-102.4364549167434_25.849292740029377,,,17,4,0.0,0
-102.34662338833144_25.525478648254804,,,39,9,0.0,0
-102.2567918599195_25.849292740029377,,,17,4,0.0,0
-102.2567918599195_25.93010841242947,,,1,0,0.0,0
-102.2567918599195_26.01086869800926,,,1,0,0.0,0
-102.2567918599195_26.091573474384994,,,10,2,0.0,0
-102.70594950197923_26.333353532323734,,,6,1,0.0,0
-102.70594950197923_26.413835058545235,,,14,3,0.0,0
-102.6161179735673_26.333353532323734,,,1,0,0.0,0
-102.6161179735673_26.413835058545235,,,12,3,0.0,0
-102.52628644515534_26.413835058545235,,,1,0,0.0,0
-102.52628644515534_26.494260471520562,,,2,0,0.0,0
-102.4364549167434_26.494260471520562,,,0,0,0.0,0
-102.4364549167434_26.574629652018167,,,0,0,0.0,0
-102.34662338833144_26.574629652018167,,,14,3,0.0,0
-102.2567918599195_26.975627931071763,,,1,0,0.0,0
-102.16696033150754_26.735198841284596,,,8,2,0.0,0
-102.16696033150754_26.815398614221458,,,4,1,0.0,0
-102.16696033150754_26.895541683016987,,,0,0,0.0,0
-102.16696033150754_26.975627931071763,,,9,2,0.0,0
-102.07712880309558_27.055657242313234,,,6,1,0.0,0
-101.98729727468364_26.895541683016987,,,2,0,0.0,0
-101.98729727468364_26.975627931071763,,,12,3,0.0,0
-101.89746574627168_26.65494248133258,,,7,1,0.0,0
-101.89746574627168_26.735198841284596,,,31,7,0.0,0
-102.70594950197923_27.215544592701203,,,1,0,0.0,0
-102.70594950197923_27.295402402338105,,,2,0,0.0,0
-102.70594950197923_27.85279367098089,,,0,0,0.0,0
-102.6161179735673_27.295402402338105,,,0,0,0.0,0
-102.6161179735673_27.85279367098089,,,0,0,0.0,0
